ChannelName	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc	Photons	LateralLocalizationAccuracy	Xw	Yw	Xwc	Ywc
405/561	18755.7	21049.9	18761.5	21054.2	283.6875	8566.30566	379.88367	1.27761	1.24384	451.72473	28680.54297	450	3	3	1	-484	-484	1541.93502	12.47859	18755.7	21049.9	18763.5510831785	21016.7512758479
405/561	18428.3	21194.4	18423.9	21226.6	316.17883	2509.11035	359.62805	0.02546	1.47966	334.63669	2315.49536	1487	1	10	1	-469	-469	451.63986	19.46787	18428.3	21194.4	18425.1790992543	21190.2508865877
405/561	17538.8	21226.3	17532.9	21257.4	330.21713	2488.42139	350.4469	0.55439	1.58925	426.35349	5179.40771	1627	1	4	1	-460	-460	447.91585	20.66061	17538.8	21226.3	17534.0748777024	21221.1993393395
405/561	18392.2	21200	18391.2	21194.9	386.43478	2855.39404	347.02039	0.78297	1.64244	241.63733	5661.80615	2023	1	2	1	-461	-461	513.97093	14.45829	18392.2	21200	18392.0800795983	21159.1192485516
405/561	17555	21275.5	17551.7	21230.4	785.78674	6481.35107	366.64053	0.36299	1.40675	409.59363	8850.24609	2835	1	2	1	-481	-481	1166.64319	9.51931	17555	21275.5	17551.9755945969	21195.4802745118
405/561	19170.9	21195.7	19181.6	21176.9	327.8999	5460.03418	369.24362	0.64018	1.34965	240.64063	15965.41602	3234	3	8	1	-468	-468	982.80615	13.78766	19170.9	21195.7	19181.5785631738	21142.4033648543
405/561	19270.8	21287.5	19245.6	21251.9	313.17319	2571.9668	365.84778	0.29096	1.42167	523.30975	2542.38403	4717	1	5	1	-483	-483	462.95402	23.65072	19270.8	21287.5	19244.4745591626	21218.9759036461
405/561	17860.9	21176	17844	21144.5	568.34637	13876.20801	364.16876	0.26326	1.42261	455.52017	12938.6543	4741	3	2	1	-472	-472	2497.71744	7.52484	17860.9	21176	17842.8566926109	21111.6013526893
405/561	19292	21290.5	19309.6	21275.9	226.59271	4851.20752	343.26633	1.16102	1.74413	299.17953	8588.89551	4840	3	1	1	-477	-477	873.21735	14.71212	19292	21290.5	19308.3829930849	21243.1063299923
405/561	17972.8	21245.7	17926.8	21169.8	114.86279	3768.90137	348.12079	0.9529	1.69856	292.9671	7033.01855	5835	2	6	1	-490	-490	678.40225	15.93887	17972.8	21245.7	17924.8422756263	21138.0614049066
405/561	17277.2	21449.1	17239	21377.2	146.3233	3693.11523	341.57059	1.24526	1.76417	285.15125	-8551.80859	6736	3	8	1	-474	-474	664.76074	18.37766	17277.2	21449.1	17236.3715354954	21346.4168044019
405/561	19488.9	21487.1	19427.8	21352.2	242.52058	1809.39917	348.70078	0.82111	1.66085	212.11337	3309.35889	8757	1	33	1	-478	-478	325.69185	20.6394	19488.9	21487.1	19423.6670229489	21323.5598259112
405/561	17349.6	21639.9	17288.5	21505	166.13643	1307.48511	358.13437	0.36713	1.56594	416.85101	3267.26758	9459	1	73	1	-500	-500	235.34732	38.8708	17349.6	21639.9	17283.8444263098	21477.1042104236
405/561	19308.6	21170	19247.5	21035.1	124.37669	934.63367	349.95422	0.7521	1.6452	250.63522	1907.98193	9538	1	63	1	-480	-480	168.23406	40.73939	19308.6	21170	19242.7856155769	21007.2879801906
405/561	19894.5	21225.6	19833.4	21090.7	236.91687	2037.73462	374.40002	0.9963	1.28648	493.06763	3224.75488	10523	1	6	1	-467	-467	366.79223	29.92789	19894.5	21225.6	19827.9523425149	21063.932451337
405/561	18070.7	21346.3	18009.7	21211.4	259.4736	2007.04614	355.05215	0.42731	1.57128	190.75664	3567.66089	10907	1	78	1	-482	-482	361.26831	18.69059	18070.7	21346.3	18003.9664776866	21185.0396360275
405/561	17104.9	21367.3	17043.9	21232.4	358.12177	2761.05493	354.47223	0.30722	1.53564	288.81116	2687.08496	14570	1	14	1	-462	-462	496.98989	16.46586	17104.9	21367.3	17035.4395952235	21209.9237962396
405/561	19626.2	21393.3	19565.1	21258.4	352.31381	2801.25073	359.97406	0.12727	1.50777	104.46016	5718.01025	14686	1	1	1	-486	-486	504.22513	12.024	19626.2	21393.3	19556.5532402233	21236.0467999482
405/561	17380.5	21445.4	17319.4	21310.5	172.20171	1347.89355	357.16519	0.11198	1.49315	179.35124	2518.06055	15062	1	9	1	-460	-460	242.62084	26.21342	17380.5	21445.4	17310.5733309124	21288.5455016243
405/561	18010.9	21602.3	17949.9	21467.4	149.41153	1332.15771	381.19379	1.36662	1.22946	255.16347	3600.18872	15520	1	5	1	-484	-484	239.78839	34.5535	18010.9	21602.3	17940.7323775495	21445.931154198
405/561	19746.5	21599.7	19685.4	21464.8	399.86398	3105.55518	355.77344	0.42388	1.57303	267.5361	4419.82568	15821	1	6	1	-487	-487	558.99993	14.55074	19746.5	21599.7	19676.0083012128	21443.6503276142
405/561	17228.1	21431.4	17167	21296.5	148.38115	1259.0033	371.86395	0.67824	1.34965	260.52649	2035.53406	15974	1	9	1	-488	-488	226.62059	35.09904	17228.1	21431.4	17157.4944019453	21275.5125652644
405/561	17984.6	21195.5	17923.5	21060.6	72.68937	1572.28088	342.56372	1.22328	1.76123	399.22089	-339.42981	16512	2	62	1	-478	-478	283.01056	40.31653	17984.6	21195.5	17913.5938934099	21040.1830479818
405/561	18641.1	21227.3	18580	21092.4	271.31613	2088.47559	354.19052	0.44173	1.57205	182.42125	5102.28662	16662	1	7	1	-476	-476	375.92561	17.69701	18641.1	21227.3	18569.9822274614	21072.1421045016
405/561	19729	21417.3	19667.9	21282.4	215.50217	1695.76746	358.11078	0.16387	1.51068	366.62674	2407.75562	17302	1	77	1	-474	-474	305.23814	28.7379	19729	21417.3	19657.405786081	21262.8207456525
405/561	19401.1	21452	19340	21317.1	241.67888	1868.13538	354.93176	0.35945	1.55192	197.63512	6510.31152	17632	1	65	1	-472	-472	336.26437	20.14859	19401.1	21452	19329.2601209942	21297.8706699959
405/561	17102.2	21639.8	17041.1	21504.9	228.22377	1920.35083	370.31378	0.7085	1.33749	173.74339	2370.5481	18299	1	52	1	-468	-468	345.66315	20.17369	17102.2	21639.8	17029.8635797431	21486.3779413204
405/561	19215.6	21466.2	19154.5	21331.3	409.16364	3276.88232	361.27838	0.10442	1.5064	409.5993	4557.29736	19235	1	6	1	-494	-494	589.83882	16.73826	19215.6	21466.2	19142.5667842242	21313.7704540036
405/561	17937	21303.1	17876	21168.1	342.13663	7402.15527	368.75739	0.37829	1.41021	370.17245	9879.34473	19604	3	3	1	-498	-498	1332.38795	12.43804	17937	21303.1	17863.7920859909	21150.9617330421
