ChannelName	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc	Photons	LateralLocalizationAccuracy	Xw	Yw	Xwc	Ywc
405/561	16511.4	8014.9	16511.4	8014.9	531.82086	2969.90967	301.6817	1.29508	1.13063	681.85626	4640.30225	3	1	214	1	-14	-14	534.58374	16.26487	16511.4	8014.9	17055.9155458016	8395.15968973378
405/561	17666	7729.8	17666	7729.8	755.56018	4447.39551	309.72653	0.90225	1.06744	603.41064	9300.0332	76	1	534	1	-1	-1	800.53119	11.32259	17666	7729.8	18210.5014817186	8109.56347250165
405/561	16903.3	8506.6	16903	8506.3	270.88998	5678.94141	355.10989	0.79589	1.06269	757.17236	6197.68652	110	2	872	1	-29	-29	1022.20945	16.94496	16903.3	8506.6	17447.4949313238	8885.83235762642
405/561	16465.9	7634.7	16465.1	7633.9	400.7009	2357.24438	309.63654	0.97258	1.11926	764.68207	3521.5603	122	1	869	1	-15	-15	424.30399	22.18478	16465.9	7634.7	17009.5926194197	8013.35078767045
405/561	18345.5	8395.1	18343.8	8393.5	1727.79175	9538.92188	299.96045	1.42185	1.17636	718.97253	10990.59277	144	1	243	1	-24	-24	1717.00594	6.01006	18345.5	8395.1	18888.2883809289	8772.80124275118
405/561	16320.3	8338.9	16318.5	8337	494.09277	3988.42847	362.70764	1.08828	1.04995	582.37646	7039.96875	150	1	480	1	-30	-30	717.91712	16.26323	16320.3	8338.9	16862.9872249769	8716.2604577732
405/561	17737.3	7675.8	17734.6	7673.1	1073.68494	16665.5625	311.26712	0.83644	1.06268	594.13129	27215.7832	172	2	501	1	-1	-1	2999.80125	4.739	17737.3	7675.8	18279.0829864861	8052.21091285393
405/561	17972.6	8263	17965.7	8256.2	387.32324	2231.64429	306.43314	1.0744	1.10262	523.43695	3269.5603	280	1	195	1	-9	-9	401.69597	19.47436	17972.6	8263	18510.1621793496	8634.57678325023
405/561	16502.7	8561	16494.9	8553.3	544.22266	6234.68359	357.91696	0.92942	1.04432	530.40894	6317.69043	302	2	178	1	-23	-23	1122.24305	13.52434	16502.7	8561	17039.3579408588	8931.52723833096
405/561	16746	8005	16738.4	7991.7	241.20294	1361.88574	303.34656	1.25982	1.15286	434.28687	2156.53516	349	1	615	1	-20	-20	245.13943	27.88421	16746	8005	17282.8488859012	8369.60775600343
405/561	16799	8009.6	16791.5	7993.8	221.1037	1212.89587	299.0018	1.34684	1.08665	420.43564	2154.45801	370	1	440	1	-1	-1	218.32126	29.82959	16799	8009.6	17335.9448400691	8371.56500858048
405/561	17668.4	7789.2	17660.7	7739.2	597.88098	6649.91016	308.97473	0.99086	1.11395	285.99161	10489.38672	856	2	261	1	-14	-14	1196.98383	7.86463	17668.4	7789.2	18205.0512079547	8113.66142536386
405/561	17732.6	7840	17724.3	7784.3	285.98624	2264.37451	359.22092	0.98316	1.04031	430.14224	2149.80396	958	1	453	1	-22	-22	407.58741	23.66306	17732.6	7840	18268.6315567702	8158.06808073815
405/561	17708.3	7923	17698	7857.6	303.03668	2217.56421	345.34293	0.48534	1.03825	396.17978	4465.1377	1115	1	291	1	-11	-11	399.16156	21.68286	17708.3	7923	18242.3013093587	8230.30087381426
405/561	17774.8	7712.5	17759.7	7641.6	394.32016	2942.66553	348.74341	0.59594	1.04648	265.33246	4016.93018	1236	1	354	1	-17	-17	529.67979	14.68788	17774.8	7712.5	18303.9779976594	8013.47837675827
405/561	17822.7	7794.6	17806.2	7722	389.05508	2703.73682	336.54001	0.14374	1.04902	343.72162	3482.57544	1273	1	197	1	-10	-10	486.67263	16.36766	17822.7	7794.6	18350.4708692886	8093.62686939404
405/561	17942.8	7780.3	17924.4	7704.7	252.64644	1417.50452	302.38879	1.32644	1.17484	326.92706	2261.15454	1326	1	216	1	-25	-25	255.15081	23.68728	17942.8	7780.3	18468.660658379	8075.96660208853
405/561	17817.5	7829.4	17790.6	7738.5	559.85541	7830.52881	360.27255	1.08599	1.00238	313.60223	10107.95898	1712	2	324	1	-6	-6	1409.49519	9.12152	17817.5	7829.4	18334.7862921317	8107.14276850495
405/561	17795.6	7888.9	17759.8	7769.9	419.04822	2882.70264	334.83279	0.01022	1.09485	319.77603	4542.42871	2105	1	254	1	-25	-25	518.88647	14.92621	17795.6	7888.9	18303.9105772737	8135.87135244707
405/561	17746.9	7825.1	17707.6	7671.7	294.7164	1634.81628	300.67157	1.3371	1.1327	293.09036	3017.4043	2494	1	190	1	-14	-14	294.26693	19.72755	17746.9	7825.1	18251.6356330504	8035.0271263745
405/561	17811	7968.7	17771.3	7811.6	228.33028	1538.0426	331.3313	0.08487	1.07207	295.12463	2358.31787	2541	1	185	1	-15	-15	276.84767	24.87389	17811	7968.7	18315.3265780929	8174.60764404697
405/561	17745.1	7904.3	17702.5	7732.5	215.49477	2507.4917	310.01657	0.89517	1.07089	283.14713	4249.90625	2742	2	200	1	-2	-2	451.34851	18.47146	17745.1	7904.3	18246.4878375188	8094.14137288276
405/561	16359.1	8946.3	16308.1	8746.7	162.25609	895.50519	299.91183	1.41634	1.17082	301.42822	966.29456	3146	1	331	1	-22	-22	161.19093	34.46784	16359.1	8946.3	16852.0068933084	9105.6001045308
405/561	16079.4	8145.1	16027.3	7941.8	151.02931	818.85339	297.25726	1.41354	1.08434	290.39816	1637.07483	3277	1	372	1	0	0	147.39361	36.27055	16079.4	8145.1	16571.1784051502	8299.81477378435
405/561	17840.4	7961	17788	7756.9	307.87854	3192.82568	306.71902	1.15536	1.17064	295.35034	6488.76074	3304	2	97	1	-27	-27	574.70862	14.80629	17840.4	7961	18331.8723328164	8114.73261858638
405/561	17787.9	7991.1	17735.1	7785.2	185.70657	1055.45764	304.34543	1.17435	1.11731	281.4649	2133.21973	3336	1	176	1	-12	-12	189.98238	29.51454	17787.9	7991.1	18278.9650375196	8142.81688670207
405/561	17778.2	8057.3	17724.7	7848.2	226.07361	1639.04492	343.74039	0.35645	1.08076	285.98093	2398.64893	3396	1	109	1	-26	-26	295.02809	24.76526	17778.2	8057.3	18268.5510533609	8205.41287268162
405/561	17793.4	8116.6	17738.9	7903.6	166.03777	1086.21204	326.5231	0.22211	1.04118	251.2916	2149.36865	3470	1	180	1	-1	-1	195.51817	31.16829	17793.4	8116.6	18282.7332133348	8260.31552668164
405/561	16109.5	8562.8	16052.1	8345.8	198.37732	1607.61792	363.41714	1.18643	1.01007	333.79578	1588.10535	3555	1	209	1	-12	-12	289.37123	29.80678	16109.5	8562.8	16595.9118339474	8701.94565483438
