ChannelName	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc	Photons	LateralLocalizationAccuracy	Xw	Yw	Xwc	Ywc
405/561	12367.2	16285.3	12359.8	16265.5	320.63336	1834.27722	305.34311	1.11142	1.09831	306.42136	2365.74561	403	1	51	1	822.816	822.816	330.1699	18.61645	12367.2	16285.3	12582.0505129461	16287.013466561
405/561	12306.3	16598.1	12298.6	16556.7	288.45477	1993.11206	335.57303	0.13368	1.03105	372.87964	4213.30859	682	1	33	1	826.056	826.056	358.76017	22.12784	12306.3	16598.1	12522.1048649756	16577.678773468
405/561	12311.5	16480.5	12303.8	16438.2	648.65546	7449.40967	353.99088	0.81903	1.02672	413.51224	12909.6582	698	2	7	1	819.576	819.576	1340.89374	10.22849	12311.5	16480.5	12527.3768683538	16459.1480918886
405/561	12345.2	16116.4	12337.4	16073.8	522.70862	4451.41211	372.54532	1.48531	1.02296	215.90009	8734.91211	704	1	4	1	811.152	811.152	801.25418	10.83598	12345.2	16116.4	12561.003871538	16094.7365857928
405/561	12174.3	16656	12166.5	16613.4	341.92987	2022.89636	310.51196	1.09873	1.22823	249.62549	3829.5127	704	1	30	1	800.136	800.136	364.12135	16.28249	12174.3	16656	12390.103871538	16634.3365857929
405/561	12211.5	16664.5	12203.8	16613.9	284.11285	1977.06909	336.76392	0.18328	1.02744	302.06448	3310.198	870	1	45	1	826.704	826.704	355.87244	20.59225	12211.5	16664.5	12428.1513719176	16634.5181422035
405/561	12304.9	16588.2	12296.7	16533.4	367.53735	4600.46777	299.51974	1.432	1.17123	227.4617	8858.54102	945	2	9	1	813.744	813.744	828.0842	9.41038	12304.9	16588.2	12521.3893569474	16553.8741990819
405/561	12243	16634.6	12234.8	16579.5	414.44168	8536.95605	366.18173	1.19683	1.05637	266.59512	17671.87695	948	3	11	1	805.32	805.32	1536.65209	9.50666	12243	16634.6	12459.502879675	16599.9684404835
405/561	12357.6	16566	12348.5	16505.4	314.43137	2637.11987	369.71072	1.33448	1.04886	228.62904	4958.10498	1036	1	38	1	805.32	805.32	474.68158	16.89929	12357.6	16566	12573.5996595742	16525.6994918618
405/561	12259.3	16529.6	12250	16467.6	307.88339	4977.4375	336.681	0.12778	1.06291	283.99612	9703.26074	1058	2	23	1	818.28	818.28	895.93875	11.58872	12259.3	16529.6	12475.1988886403	16487.8572457534
405/561	12280	16597.9	12266.5	16528.8	346.55585	2692.93066	355.8656	0.81259	1.06805	282.15875	5394.36377	1195	1	20	1	807.912	807.912	484.72752	16.7974	12280	16597.9	12492.3171195006	16548.7940877734
405/561	12311.3	16560.1	12295.4	16488.3	523.10632	3263.48096	318.86411	0.5328	1.05497	415.267	4439.60254	1258	1	9	1	826.704	826.704	587.42657	13.56932	12311.3	16560.1	12521.50159024	16508.1730276153
405/561	12214.1	16615	12197.5	16542.3	207.07854	1334.11938	324.03345	0.48445	1.1544	292.53305	2663.3501	1275	1	33	1	805.32	805.32	240.14149	27.11183	12214.1	16615	12423.6783709174	16562.1403556693
405/561	12205	16599.6	12188.1	16526.6	408.90948	2716.18945	329.02316	0.11682	1.03349	244.80142	6087.7832	1283	1	34	1	828	828	488.9141	13.86018	12205	16599.6	12414.3145057475	16546.4249799145
405/561	12189.8	16788.9	12172.2	16715.2	253.31364	1855.995	345.55661	0.52922	1.01442	225.21382	3281.65283	1300	1	21	1	826.704	826.704	334.0791	20.32506	12189.8	16788.9	12398.49129809	16734.992304905
405/561	12283.4	16573.8	12258.9	16485.4	407.29541	2944.96826	343.27771	0.3555	1.07151	320.4631	5498.19482	1533	1	43	1	813.096	813.096	530.09429	15.30615	12283.4	16573.8	12486.2445968607	16504.7442570865
405/561	12344.4	16566	12306.6	16421.5	327.13266	1835.74536	302.41568	1.3402	1.18555	306.19064	3442.87549	2391	1	44	1	810.504	810.504	330.43417	18.2857	12344.4	16566	12537.8355200467	16439.1911466317
